Department,GDP Millions (x_1),Population (x_2),GDP per capita Millions (x_3)
Amazonas,1067855.672,76589,13.94267678
Antioquia,212514957.4,6407102,33.16865524
Arauca,8548114.653,262174,32.60473828
Atlántico,63764770.77,2535517,25.1486268
Bogotá D.C.,357258620.8,7412566,48.19634938
Bolívar,51404352.37,2070110,24.83170091
Boyacá,38858162.12,1217376,31.91960588
Caldas,23953112.45,998255,23.9949837
Caquetá,5461366.78,401849,13.59059443
Casanare,23660657.37,420504,56.26737766
Cauca,25758151.71,1464488,17.58850309
Cesar,37523918.98,1200574,31.25498218
Chocó,6001844.915,534826,11.2220515
Córdoba,24991953.76,1784783,14.00279685
Cundinamarca,91945942.28,2919060,31.49847632
Guainía,497704.0127,48114,10.34426597
Guaviare,1123857.696,82767,13.57857232
Huila,24011616.06,1100386,21.8210846
La Guajira,22262575.88,880560,25.28229295
Magdalena,19738417.36,1341746,14.710994
Meta,58439500.07,1039722,56.20685151
Nariño,21775426.15,1630592,13.35430699
Norte de Santander,23056874.23,1491689,15.45689097
Putumayo,5616558.269,348182,16.13109888
Quindío,11941644.16,539904,22.11808795
Risaralda,23786362.42,943401,25.21341659
San Andrés Providencia y Santa Catalina (Archipiélago),2125410.333,61280,34.68358898
Santander,92276678.16,2184837,42.23504003
Sucre,11516270.76,904863,12.7270877
Tolima,30438180.15,1330187,22.8826324
Valle del Cauca,139863153.5,4475886,31.2481492
Vaupés,381851.6785,40797,9.359797989
Vichada,956576.6785,107808,8.872965629
